id	disciplina
359	9E.17 - ESTÁGIO CURRICULAR SUPERVISIONADO – NPJ PRÁTICA III DIREITO PENAL
360	9E.17 - DIREITO PROCESSUAL CONSTITUCIONAL I
361	9E.17 - DIREITO PROCESSUAL DO TRABALHO I
362	9E.17 - ESTÁGIO CURRICULAR SUPERVISIONADO IX - NPJ
363	9E.17 - DIREITO PROCESSUAL CIVIL VI
364	9E.17 - DIREITO CIVIL VIII
365	9E.17 - DIREITO TRIBUTÁRIO I
366	7A.14 - ESTÁGIO EMPRESARIAL: CRIAÇÃO E ESTRUTURAÇÃO
367	7A.14 - COMÉRCIO EXTERIOR
368	7A.14 - PLANEJAMENTO ECONÔMICO FINANCEIRO
369	7A.14 - ANÁLISE E ELABORAÇÃO DE PROJETOS
370	7A.14 - ADMINISTRAÇÃO DA QUALIDADE
371	7A.14 - PLANEJAMENTO ESTRATÉGICO
372	5A.14 - PLANEJAMENTO E CONTROLE DA PRODUÇÃO
373	5A.14 - PROCESSOS DE RECURSOS HUMANOS
374	5A.14 - FUNDAMENTOS DE ADMINISTRAÇÃO FINANCEIRA
375	5A.14 - ESTÁGIO EMPRESARIAL: ANÁLISE E OBSERVAÇÃO
376	5A.14 - ADMINISTRAÇÃO MERCADOLÓGICA
377	5A.14 - GESTÃO DE COMÉRCIO ELETRÔNICO
378	5A.14 - LOGÍSTICA DE DISTRIBUIÇÃO
379	5A.15 - PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS
380	5A.15 - SEGURANÇA DA INFORMAÇÃO
381	5A.15 - DESENVOLVIMENTO BASEADO EM FRAMEWORKS PARA WEB
382	5A.15 - INTERFACE HOMEM COMPUTADOR
383	5A.15 - VIRTUALIZAÇÃO E COMPUTAÇÃO EM NUVEM
384	5A.15 - QUALIDADE E TESTE DE SOFTWARE
385	9A.39 - TFG I
386	9A.39 - ADMINISTRAÇÃO PARA ARQUITETURA E URBANISMO
387	9A.39 - GERENCIAMENTO DE PROJETOS E OBRAS
388	9A.39 - ESTÁGIO SUPERVISIONADO I
389	7A.39 - PROJETO DE URBANISMO II
390	7A.39 - INSTALAÇÕES HIDRÁULICAS
391	7A.39 - PAISAGISMO II
392	7A.39 - PROJETO ARQUITETÔNICO V
393	7A.39 - TÉCNICAS RETROSPECTIVAS I
394	5D.39 - SUSTENTABILIDADE NO AMBIENTE CONSTRUIDO
395	5D.39 - TECNOLOGIA DA CONSTRUÇÃO II
396	5D.39 - PROJETO ARQUITETÔNICO III
397	5D.39 - PLANEJAMENTO URBANO E REGIONAL II
398	5D.39 - HISTÓRIA E TEORIA DA ARTE E DA ARQUITETURA III
399	5D.39 - INFRAESTRUTURA URBANA
400	5D.39 - SISTEMAS ESTRUTURAIS II
401	5D.39 - CONFORTO AMBIENTAL II
402	5A.39 - HISTÓRIA E TEORIA DA ARTE E DA ARQUITETURA III
403	5A.39 - PROJETO ARQUITETÔNICO III
404	5A.39 - PLANEJAMENTO URBANO E REGIONAL II
405	5A.39 - SISTEMAS ESTRUTURAIS II
406	5A.39 - TECNOLOGIA DA CONSTRUÇÃO II
407	5A.39 - CONFORTO AMBIENTAL II
408	5A.39 - SUSTENTABILIDADE NO AMBIENTE CONSTRUIDO
409	5A.39 - INFRAESTRUTURA URBANA
410	5A.27 - BIOLOGIA MOLECULAR
411	5A.27 - ESTÁGIO SUPERVISIONADO EM ANÁLISE DE LÍQUIDOS CORPORAIS
412	5A.27 - PATOLOGIA DOS SISTEMAS
413	5A.27 - BACTERIOLOGIA E VIROLOGIA MÉDICA
414	5A.27 - SEMIOLOGIA NA URGÊNCIA-EMERGÊNCIA
415	5A.27 - BIOFÍSICA APLICADA À CIÊNCIAS BIOMÉDICAS
416	7A.13 - AUDITORIA CONTÁBIL
417	7A.13 - FILOSOFIA E ÉTICA PROFISSIONAL
418	7A.13 - ESTÁGIO II (PRÁTICAS CONTÁBEIS EM LABORATÓRIO)
419	7A.13 - CONTABILIDADE RURAL
420	7A.13 - ANÁLISE DAS DEMONSTRAÇÕES CONTÁBEIS
421	5A.13 - CONTABILIDADE EMPRESARIAL
